name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,relative_results,url,restaurant,bakery,dessert,pastry,closed,street,zip,open,close,City,County Name,avg_rating_right,num_of_reviews_right
Dunkin',"Dunkin', 28385 FL-54, Wesley Chapel, FL 33543",0x88c2b1174d844d9f:0x4e317ecc62197216,Long-running chain serving signature breakfast items & a variety of coffee drinks.,28.234375,-82.375,"Coffee shop,Bagel shop,Bakery,Breakfast restaurant,Donut shop,Fast food restaurant,Takeout Restaurant",3.0,74,$,1.0,1.0,"0x88c2b05b32cbda63:0x6b138129a93d5351,0x88c2b72e0f6c0157:0x21a264d26b866e87,0x88c2b14b1a91d5ff:0x8611cbec2bcfc254,0x88c2b196b054b045:0x3ef6acd12197774,0x88c2b051b5c654bb:0x52ecd5bebf92acf9",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2b1174d844d9f:0x4e317ecc62197216?authuser=-1&hl=en&gl=us,1,1,0,0,0,28385 FL-54 FL USA,33543,,10PM,,,3.93,3790
Subway,"Subway, 400 FL-26, Melrose, FL 32666",0x88e61a9f09906d59:0x1957014a37199d9b,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",29.703125,-82.0625,"Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",3.0,43,$,1.0,1.0,"0x88e61a9f268ec71f:0x1393b7414b47f69d,0x88e61aa1de25bcc5:0x6c492f54a8affe4f,0x88e60587de7413c7:0x8cee58186b1f5938,0x88e61a9f297263db:0x5befd8f3588d5459,0x88e60f6e1ff78609:0xf851398626faddb8",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e61a9f09906d59:0x1957014a37199d9b?authuser=-1&hl=en&gl=us,1,0,0,0,0,400 FL-26 FL USA,32666,,10PM,,,3.95,47262
Papa John's Pizza,"Papa John's Pizza, 105 Murabella Pkwy, St. Augustine, FL 32092",0x88e42b68c6c4bc71:0xb9318d04b45c3c78,"Take-out/delivery chain offering classic & specialty pizzas, wings & breadsticks, plus desserts.",29.96875,-81.5,Pizza restaurant,3.0,108,$,1.0,1.0,"0x88e42b69b246ff3b:0x7f06892d1aac353,0x88e5d53ffc797f7b:0x57b1c7ef4c7aa9f2,0x88e5d4569bc41e03:0x63fad6513201740a,0x88e427f14f1d20cd:0x1a8e3256249c3c78",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e42b68c6c4bc71:0xb9318d04b45c3c78?authuser=-1&hl=en&gl=us,1,0,0,0,0,105 Murabella Pkwy FL USA,32092,,10PM,,,4.38,2500
Wawa,"Wawa, SR 54 &, Trinity Blvd, Odessa, FL 33556",0x88c295da3dca7825:0xc13304eb66a69555,Convenience store chain known for sandwiches & coffee. Many offer fuel & are open 24/7.,28.1875,-82.625,"Convenience store,Breakfast restaurant,Cafe,Candy store,Cheesesteak restaurant,Coffee shop,Fast food restaurant,Gas station,Hoagie restaurant,Sandwich shop",4.0,124,,1.0,1.0,"0x88c29677c2840235:0xa60aa4aead146161,0x88c2979b012be877:0xd856f6012c8aefcf,0x88c2c0ebf99e45ed:0x77427f931da483ab,0x88c2942aff5251d9:0x6051b2c19cb28f46,0x88c295580d1b6581:0x7becb048b15b9658",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c295da3dca7825:0xc13304eb66a69555?authuser=-1&hl=en&gl=us,1,0,0,0,0,SR 54 & FL USA,33556,Open 24 hours,Open 24 hours,,,3.73,403
Domino's Pizza,"Domino's Pizza, 209 N Amelia Ave, DeLand, FL 32724",0x88e71b7770f86853:0x370e76886006bc7f,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,29.03125,-81.3125,"Pizza delivery,Delivery Restaurant,Takeout Restaurant,Pizza restaurant,Pizza Takeout",4.0,345,$,1.0,1.0,"0x88e71b7121fb83f1:0x196f9665ba5f66d5,0x88e71c85a0f6b0d3:0x1a9d5d22e7813d02,0x88e71c839be5f43b:0x3fad6ebc0f15b539,0x88e71b690a95996d:0x8e02fc23ecacadb4,0x88e71b0fcce2270f:0x6b235718aa1627a1",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e71b7770f86853:0x370e76886006bc7f?authuser=-1&hl=en&gl=us,1,0,0,0,0,209 N Amelia Ave FL USA,32724,,1AM,DELAND,VOLUSIA,4.19,3784
bp,"bp, 14780 E, Co Hwy 315, Fort McCoy, FL 32134",0x88e63a09a86f4a87:0x7fa5609345f23fcd,,29.359375,-81.9375,"Gas station,ATM,Restaurant",4.0,15,,1.0,1.0,"0x88e63a09a765dbed:0x551f75a2463757e4,0x88e639cd27d49801:0x76a26ccadd5a01d5,0x88e62f3ba4725e57:0xa28be7c4e33e9ab7,0x88e625cb31c78adf:0x584ba6576549dfd1,0x88e63e7c7ce28333:0x88d355115109078f",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e63a09a86f4a87:0x7fa5609345f23fcd?authuser=-1&hl=en&gl=us,1,0,0,0,0,14780 E FL USA,32134,Open 24 hours,Open 24 hours,,,3.65,255
Subway,"Subway, 3150 Bill Beck Blvd Store #3150, Gateway, Kissimmee, FL 34744",0x88dd86587d3d407f:0xd4d6922660563a5b,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",28.34375,-81.375,"Sandwich shop,Caterer,Fast food restaurant",4.0,58,$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd86587d3d407f:0xd4d6922660563a5b?authuser=-1&hl=en&gl=us,1,0,0,0,1,3150 Bill Beck Blvd Store #3150 FL USA,34744,Permanently closed,Permanently closed,KISSIMMEE,OSCEOLA,3.95,47262
Papa John's Pizza,"Papa John's Pizza, 801 S Ponce De Leon Blvd, St. Augustine, FL 32084",0x88e427f10afbe75d:0x4331a6c034a8944a,"Take-out/delivery chain offering classic & specialty pizzas, wings & breadsticks, plus desserts.",29.875,-81.3125,Pizza restaurant,3.0,116,$,1.0,1.0,"0x88e427f14f1d20cd:0x1a8e3256249c3c78,0x88e427c7326e5249:0x163c852509f5bc8,0x88e427b27d39216b:0xf2690a4020fafa02,0x88e427b8b93cb35b:0x473f5c967ab83804,0x88e4271b0dd94901:0x154cca5a99234428",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e427f10afbe75d:0x4331a6c034a8944a?authuser=-1&hl=en&gl=us,1,0,0,0,0,801 S Ponce De Leon Blvd FL USA,32084,,12AM,,,4.38,2500
Pizza Hut Express,"Pizza Hut Express, 1809 US-1, Sebastian, FL 32958",0x88de684a94b79591:0xf9ec3b67cbd74955,Family-friendly chain known for its made-to-order pizzas.,27.828125,-80.5,"Pizza restaurant,Takeout Restaurant",3.0,18,$,1.0,1.0,"0x88de684a94b79591:0xe84adac450772adf,0x88de67d676763789:0xc5b7e7f115ba905a,0x88de72ec4c135b43:0x6700f0b0e97c3bc,0x88de67d46c5d889f:0xe219ac15b67465a6,0x88de67d60d9827a5:0x9a214a4a1e073dc3",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88de684a94b79591:0xf9ec3b67cbd74955?authuser=-1&hl=en&gl=us,1,0,0,0,1,1809 US-1 FL USA,32958,Permanently closed,Permanently closed,SEBASTIAN,INDIAN RIVER,3.82,17
Wawa,"Wawa, 3080 SE Maricamp Rd, Ocala, FL 34471",0x88e7d3dfa1032d9d:0x8485d249939cfdea,Convenience store chain known for sandwiches & coffee. Many offer fuel & are open 24/7.,29.15625,-82.125,"Convenience store,Breakfast restaurant,Cafe,Candy store,Cheesesteak restaurant,Coffee shop,Fast food restaurant,Gas station,Hoagie restaurant,Sandwich shop",4.0,38,,1.0,1.0,0x88e7d3226710c537:0xcce1f0a19180ef25,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e7d3dfa1032d9d:0x8485d249939cfdea?authuser=-1&hl=en&gl=us,1,0,0,0,0,3080 SE Maricamp Rd FL USA,34471,Open 24 hours,Open 24 hours,OCALA,MARION,3.73,403
Dunkin',"Dunkin', 110 E Bearss Ave, Tampa, FL 33613",0x88c2c75ed2ab68e3:0xabf064ff0da32678,Long-running chain serving signature breakfast items & a variety of coffee drinks.,28.09375,-82.4375,"Coffee shop,Bagel shop,Bakery,Breakfast restaurant,Donut shop,Fast food restaurant,Takeout Restaurant",3.0,207,$,1.0,1.0,"0x88c2c6c6cb805b75:0x6c41a51e170aecc9,0x88c2c75941da1557:0x9e7c636ec43bf128,0x88c2c11d75386b2f:0x829dbc6e84c948f7,0x88c2c7088fbad42f:0xe10c678d535dd34d,0x88c2c75e50e0de25:0x5c3196c9d5040adc",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c75ed2ab68e3:0xabf064ff0da32678?authuser=-1&hl=en&gl=us,1,1,0,0,0,110 E Bearss Ave FL USA,33613,,8PM,TAMPA,HILLSBOROUGH,3.93,3790
CPO Club,"CPO Club, 3558 Lighthouse Rd, Pensacola, FL 32508",0x8890ba273bb5db21:0x2cb742fba927643d,,30.34375,-87.3125,"Club,Restaurant",4.0,53,,1.0,1.0,"0x8890b990d47dec0b:0x8a463649e5df2c9f,0x8890ba27b40518cf:0xededd0a4a264a2e7,0x8890b8b5f6609829:0xd8c6b6df86d3302b",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8890ba273bb5db21:0x2cb742fba927643d?authuser=-1&hl=en&gl=us,1,0,0,0,0,3558 Lighthouse Rd FL USA,32508,2PM Wed,,PENSACOLA,ESCAMBIA,,
Subway,"Subway, 1862 NE Jensen Beach Blvd, Jensen Beach, FL 34957",0x88dee7063e758dd7:0x8767fc68bb9f155,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",27.25,-80.25,"Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",4.0,57,$,1.0,1.0,"0x88dee7a8410eb74b:0xab38953bdb7b4276,0x88dee7af0a692259:0xc9cabdd7be4727fe,0x88dee7d987b46d05:0x2f52bd8b7bbdb221,0x88dee701735e9b1b:0x47256218e47fc6bc,0x88dee7a8cc87c2e1:0x957176fb6565535c",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dee7063e758dd7:0x8767fc68bb9f155?authuser=-1&hl=en&gl=us,1,0,0,0,0,1862 NE Jensen Beach Blvd FL USA,34957,,9PM,,,3.95,47262
Subway,"Subway, Cutler Ridge SW 211 &, US-1, Miami, FL 33189",0x88d9c37ea9ff58d5:0x48704d8cf6721d2c,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",25.578125,-80.375,"Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",3.0,55,$,1.0,1.0,"0x88d9c37fa9efd097:0x33548b48e2b9975e,0x88d9c37fbb5e6365:0x6ab57cc9da350bd0,0x88d9b7b67d3dce8f:0xe96e5faaf101faea,0x88d9c36735bb9df9:0xa621d6cea1fe0a8e,0x88d9c37aed5535a5:0x33dc17e8a951a58c",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c37ea9ff58d5:0x48704d8cf6721d2c?authuser=-1&hl=en&gl=us,1,0,0,0,0,Cutler Ridge SW 211 & FL USA,33189,,10PM,MIAMI,MIAMI-DADE,3.95,47262
Ben & Jerry’s,"Ben & Jerry’s, 235 S Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33316",0x88d9014883470307:0xf2dd1444ba8c24a,"Iconic Vermont-based ice cream parlor chain, known for its creative, cleverly named flavors.",26.125,-80.125,"Ice cream shop,Bakery,Candy store,Caterer",4.0,56,$$,1.0,1.0,"0x88d9002c60aacb0f:0xa35ea468d66a2c9e,0x88d901b095299bd9:0x83bd161db9911c4",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9014883470307:0xf2dd1444ba8c24a?authuser=-1&hl=en&gl=us,0,1,0,0,0,235 S Fort Lauderdale Beach Blvd FL USA,33316,,12AM,FORT LAUDERDALE,BROWARD,,
Chipotle Mexican Grill,"Chipotle Mexican Grill, 1700 NW 117th Pl #101, Miami, FL 33182",0x88d9bf96d4a40527:0x616d665e5486fbf8,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.",25.796875,-80.375,"Mexican restaurant,Caterer,Fast food restaurant",3.0,205,$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9bf96d4a40527:0x616d665e5486fbf8?authuser=-1&hl=en&gl=us,1,0,0,0,0,1700 NW 117th Pl #101 FL USA,33182,,10PM,MIAMI,MIAMI-DADE,3.89,860
Pizza Pros,"Pizza Pros, 5627 14th St W, Bradenton, FL 34207",0x88c315e31255a151:0xf35af351dd01601e,,27.4375,-82.5625,"Pizza restaurant,Italian restaurant,Restaurant",2.0,73,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c315e31255a151:0xf35af351dd01601e?authuser=-1&hl=en&gl=us,1,0,0,0,1,5627 14th St W FL USA,34207,Permanently closed,Permanently closed,BRADENTON,MANATEE,,
China Taste,"China Taste, 876 E Tarpon Ave, Tarpon Springs, FL 34689",0x88c28d7a4313dd0f:0x5590dcbf7a6643b1,Straightforward option providing generous portions of familiar Chinese takeout staples.,28.140625,-82.75,"Chinese restaurant,Asian restaurant,Delivery Restaurant,Restaurant",3.0,177,$,1.0,1.0,"0x88c28d94198f9b25:0x2c90feba8df00b88,0x88c28d14a53337c5:0xa281569781567907,0x88c29194a533127f:0xd02192794c331324,0x88c28d133200c409:0x508252a3fbbc902c,0x88c2f2f14c63d6af:0xb73081c8d7483303",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c28d7a4313dd0f:0x5590dcbf7a6643b1?authuser=-1&hl=en&gl=us,1,0,0,0,0,876 E Tarpon Ave FL USA,34689,,10PM,TARPON SPRINGS,PINELLAS,3.5,66
Subway,"Subway, 11201 Sheldon Rd, Tampa, FL 33626",0x88c2ea6010ddc917:0xb1b168281c906905,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",28.046875,-82.5625,"Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",3.0,45,$,1.0,1.0,"0x88c2e9f33a5e8e7b:0xa517288ae9dd0d87,0x88c2ea5b05edd44b:0x5eb9e7a1a16ac7c9,0x88c2ea67a86ed3a9:0x9f4bbcb650be6744,0x88c2c1953949e557:0xec05176e8604961b",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2ea6010ddc917:0xb1b168281c906905?authuser=-1&hl=en&gl=us,1,0,0,0,0,11201 Sheldon Rd FL USA,33626,,10PM,TAMPA,HILLSBOROUGH,3.95,47262
Asahi,"Asahi, 8152 W McNab Rd, North Lauderdale, FL 33068",0x88d9046dbc4eeaaf:0x908ceb86908e4b0d,"This no-frills choice offers familiar Chinese dishes for takeout & delivery, plus lunch specials.",26.203125,-80.25,Chinese restaurant,3.0,248,$,1.0,1.0,"0x88d905bdd9d3ae5d:0xfa8aa1a75eb276e1,0x88d90468dc56d6fd:0x14e71346b0065144,0x88d904191bb4f307:0x75d790a9a0d2fb38,0x88d905dd56d516a3:0xa87d1a2fade57ad4,0x88d905f9b33bc861:0xc2bcad4d9add8c69",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9046dbc4eeaaf:0x908ceb86908e4b0d?authuser=-1&hl=en&gl=us,1,0,0,0,0,8152 W McNab Rd FL USA,33068,,2AM,POMPANO BEACH,BROWARD,,
Denny's,"Denny's, 200 N 3rd St, Neptune Beach, FL 32266",0x88e4493a5c71e96f:0x1ad65482ce866b5e,"Casual diner chain dishing up classic American comfort fare, including breakfast, 24 hours a day.",30.328125,-81.375,"Diner,American restaurant,Breakfast restaurant",3.0,48,$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e4493a5c71e96f:0x1ad65482ce866b5e?authuser=-1&hl=en&gl=us,1,0,0,0,1,200 N 3rd St FL USA,32266,,,NEPTUNE BEACH,DUVAL,3.54,1232
Taco Bell,"Taco Bell, 245 Bon Hommes Richard St, Jacksonville, FL 32227",0x88e44e5c122f8ebf:0x768d6253d9d89e52,"Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.",30.390625,-81.375,"Mexican restaurant,Restaurant",3.0,25,$,1.0,1.0,0x88e5b77d96077279:0x75b79583764811b3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e44e5c122f8ebf:0x768d6253d9d89e52?authuser=-1&hl=en&gl=us,1,0,0,0,1,245 Bon Hommes Richard St FL USA,32227,Permanently closed,Permanently closed,JACKSONVILLE,DUVAL,3.96,2758
Chick-fil-A,"Chick-fil-A, Airside A, 4100 George J Bean Pkwy, Tampa, FL 33607",0x88c2c3e35d762d65:0xb1a2c87f0327032d,"Fast-food chain serving chicken sandwiches, strips & nuggets along with salads & sides.",27.984375,-82.5625,"Fast food restaurant,Breakfast restaurant,Caterer,Chicken restaurant,Delivery service,Family restaurant",3.0,18,$,1.0,1.0,"0x88c2c3c580ddb579:0x8d755543a08275e8,0x88c2c238aa49c74d:0x51fbf5866c9ef677",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c3e35d762d65:0xb1a2c87f0327032d?authuser=-1&hl=en&gl=us,1,0,0,0,0,Airside A FL USA,33607,,2PM,TAMPA,HILLSBOROUGH,4.4,452
Subway,"Subway, 3038 Del Prado Blvd S, Cape Coral, FL 33904",0x88db40c631970e75:0x9ef02a612374d68c,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",26.59375,-81.9375,"Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",4.0,118,$,1.0,1.0,"0x88db413849ebe021:0x640ffbc70545e797,0x88db473d7140b667:0xce35c32c90f24b5b,0x88db4125cf82d06d:0x1bf516a93553352b,0x88db4697dedcc6ed:0xbfde98624be3aaa4,0x88db41265b3cbce5:0x5116c409140e646",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db40c631970e75:0x9ef02a612374d68c?authuser=-1&hl=en&gl=us,1,0,0,0,0,3038 Del Prado Blvd S FL USA,33904,,9PM,CAPE CORAL,LEE,3.95,47262
Auntie Anne's,"Auntie Anne's, 1801 Palm Beach Lakes Blvd, West Palm Beach, FL 33401",0x88d8d605936a33ed:0x785394ced2e1aa2c,Global chain of counters dispensing sweet & savory soft pretzels with a variety of toppings & dips.,26.71875,-80.0625,"Pretzel store,Bakery,Cafe,Restaurant",3.0,25,$,1.0,1.0,"0x88d8d62cf651277b:0xc112e9594ea8913d,0x88d9280c2b3f7e73:0xa263341967e1b7c4,0x88d8d605936bd797:0x51a1cc17c2d9c3b4,0x88d8d60f109568ef:0x4d1684916f58244e,0x88d8d660f04ddb21:0x25845f927baaf4a0",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8d605936a33ed:0x785394ced2e1aa2c?authuser=-1&hl=en&gl=us,1,1,0,0,0,1801 Palm Beach Lakes Blvd FL USA,33401,11AM,,WEST PALM BEACH,PALM BEACH,4.26,1622
Hibachi express,"Hibachi express, 7578 SE Maricamp Rd suite111, Ocala, FL 34472",0x88e7cd50173ef8fb:0x4664af0af439c2fc,,29.109375,-82.0,Restaurant,4.0,93,,1.0,1.0,"0x88e7d59a314c8f87:0x219838134519336,0x88e7d59f496fc0ef:0x1ee88dae11c90bf2,0x88e7d33cc3e9def9:0x4213ceafd1d463a6,0x88e7d5882ecf05ed:0xaa07cd14f21153fd",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e7cd50173ef8fb:0x4664af0af439c2fc?authuser=-1&hl=en&gl=us,1,0,0,0,0,7578 SE Maricamp Rd suite111 FL USA,34472,11AM,,OCALA,MARION,,
Planet Smoothie,"Planet Smoothie, 4067 13th St, St Cloud, FL 34769",0x88dd8fa400941ca7:0x3196c4787c1db5dd,"Sleek chain for custom smoothies made with yogurt, sherbet & nutrition-oriented add-ins.",28.25,-81.3125,"Juice shop,Health food restaurant",4.0,86,$,1.0,1.0,"0x88dd8132eab47ddb:0x2769d68b8243f7d7,0x88dd8fa02b38b7ab:0xfea8ebd05c5d2d7,0x88dd83e3914a27ad:0xe595059069c1390b,0x88dd86c964a1df51:0x1ab39482a00914dd",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8fa400941ca7:0x3196c4787c1db5dd?authuser=-1&hl=en&gl=us,1,0,0,0,0,4067 13th St FL USA,34769,,8PM,,,4.32,294
Tasty Dog,"Tasty Dog, 5627 Verna Blvd, Jacksonville, FL 32205",0x88e5b96cad002937:0x53f1f16bbc4359f2,,30.3125,-81.75,"Restaurant,Fast food restaurant,Hot dog stand,Ice cream shop",4.0,98,,1.0,1.0,"0x88e5b715bc29fe31:0xcd42f093daeeae5f,0x88e5b89053acfe4d:0x5d7a4ba22ac234a4,0x88e5c47aee1b8199:0x8989a7fda4cb1ff0,0x88e5b510c2b687e7:0x7c7f39e6f94bff3a",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5b96cad002937:0x53f1f16bbc4359f2?authuser=-1&hl=en&gl=us,1,0,0,0,0,5627 Verna Blvd FL USA,32205,Temporarily closed,Temporarily closed,JACKSONVILLE,DUVAL,,
Pop's Pizzeria,"Pop's Pizzeria, 932 N Mills Ave, Orlando, FL 32803",0x88e77b7eaf080135:0xec54c519e29cec50,,28.5625,-81.375,"Pizza restaurant,Restaurant",4.0,38,$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77b7eaf080135:0xec54c519e29cec50?authuser=-1&hl=en&gl=us,1,0,0,0,0,932 N Mills Ave FL USA,32803,4PM,,ORLANDO,ORANGE,,
Hungry Howie's,"Hungry Howie's, 7965 N University Dr, Parkland, FL 33076",0x88d91a5c2fdb2f85:0x993cd349bcd47e2e,"Basic, counter-serve pizzeria chain popular for its flavored crusts, such as sesame & garlic herb.",26.328125,-80.25,"Italian restaurant,Chicken restaurant,Pasta shop,Pizza delivery,Pizza restaurant,Pizza Takeout,Restaurant,Salad shop,Sandwich shop",3.0,28,$,1.0,1.0,"0x88d91bfe6f742efb:0xe25d01fc5ea905e7,0x88d91d0fe10270bd:0x4a5c3515af3dc2bb,0x88d91d87138409af:0x8cb19b814af04fac",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d91a5c2fdb2f85:0x993cd349bcd47e2e?authuser=-1&hl=en&gl=us,1,0,0,0,1,7965 N University Dr FL USA,33076,Permanently closed,Permanently closed,POMPANO BEACH,BROWARD,,
Fish,"Fish, 3100 Overseas Hwy, Key West, FL 33040",0x88d1ab7a240f110f:0x363f16eeeddcf35,,24.625,-81.625,"Seafood restaurant,American restaurant,Bar,Bar & grill,Cocktail bar,Fish & chips restaurant,Floridian restaurant,Restaurant,Wine bar",4.0,186,$$,1.0,1.0,"0x88d1ab7a26a98eeb:0x8b76c76468f2e919,0x88d0ffd63366168f:0xe4b9be5a6d58d619,0x88d0fd82567677bb:0xe7a4a6d95d2255a2,0x88d0fe1d15447edb:0xee6b2d67b4e46692,0x88d1adc5d46be85f:0xfc2fdfd473c62a63",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d1ab7a240f110f:0x363f16eeeddcf35?authuser=-1&hl=en&gl=us,1,0,0,0,1,3100 Overseas Hwy FL USA,33040,Permanently closed,Permanently closed,KEY WEST,MONROE,,
Chipotle Mexican Grill,"Chipotle Mexican Grill, 2207 Del Prado Blvd S, Cape Coral, FL 33990",0x88db40d9952d82d5:0xf4289432d9a7b8a7,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.",26.609375,-81.9375,"Mexican restaurant,Caterer,Fast food restaurant",3.0,318,$,1.0,1.0,"0x88db4126f83caaf9:0xc56bfa3d196cc002,0x88db4125e7820d81:0x6b30ac52a32ad103,0x88db41265b3cbce5:0x5116c409140e646,0x88db40dbdfeb5f47:0x6ce0d586c0cd168f,0x88db47179a559b97:0x3115404073804078",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db40d9952d82d5:0xf4289432d9a7b8a7?authuser=-1&hl=en&gl=us,1,0,0,0,0,2207 Del Prado Blvd S FL USA,33990,10:45AM,,CAPE CORAL,LEE,3.89,860
Wingstop,"Wingstop, 1703 E Commercial Blvd, Fort Lauderdale, FL 33334",0x88d903c4a4600e27:0x6822560101b900da,Casual counter-serve chain serving a variety of chicken wings & sides.,26.1875,-80.125,Chicken wings restaurant,4.0,25,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d903c4a4600e27:0x6822560101b900da?authuser=-1&hl=en&gl=us,1,0,0,0,0,1703 E Commercial Blvd FL USA,33334,11AM,,FORT LAUDERDALE,BROWARD,4.3,1146
European Bakery,"European Bakery, 71 9th St S, Naples, FL 34102",0x88dae1997e122d6b:0xfd776fa851f06d29,"Cheery nook dishing up hearty Central & Eastern European staples, plus cakes & pastries.",26.140625,-81.8125,"Bakery,Cafe",4.0,74,$,1.0,1.0,"0x88dae2156941cbab:0xcb432ada773bd51c,0x88db1ddca7ed85c5:0xac2ed185e6d9f0bb,0x88dae10d18b44605:0x97789d9d9c5a0dfe,0x88db1ddb58748931:0xb42740ef97b11570",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dae1997e122d6b:0xfd776fa851f06d29?authuser=-1&hl=en&gl=us,0,1,0,0,0,71 9th St S FL USA,34102,11:30AM,,NAPLES,COLLIER,,
Grand China Buffet,"Grand China Buffet, 23 Azalea Dr # E, Crawfordville, FL 32327",0x88ec85c715581c85:0x559901a7b10d7071,,30.1875,-84.375,Chinese restaurant,3.0,16,$$,1.0,1.0,"0x88ec8448fada515b:0xb0056b8e72b6d665,0x88ec85efeb5c9ea7:0xad61a27526970bd6,0x88ec8536c4744741:0x826c38334b70919f,0x88ec85c722b9152f:0x4d8e87440b9116a0",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88ec85c715581c85:0x559901a7b10d7071?authuser=-1&hl=en&gl=us,1,0,0,0,1,23 Azalea Dr # E FL USA,32327,Permanently closed,Permanently closed,,,,
Shell,"Shell, 199 Gulf Breeze Pkwy, Gulf Breeze, FL 32561",0x8890c6fa7bd070bd:0x47f39e8b541fc0c7,,30.375,-87.1875,"Gas station,ATM,Convenience store,Restaurant",3.0,18,$$,1.0,1.0,"0x8890c6f6d06a81f1:0xfd917cf4c97e1848,0x8890c65f6d98f54b:0xc4edd4a927442cef,0x8890c6f0ecf96b11:0x8080ecfa979e8447,0x8890c5e065d8117f:0x82abb90be275baf8,0x8890c48dcc774dad:0x20865b70df19e970",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8890c6fa7bd070bd:0x47f39e8b541fc0c7?authuser=-1&hl=en&gl=us,1,0,0,0,0,199 Gulf Breeze Pkwy FL USA,32561,Open 24 hours,Open 24 hours,GULF BREEZE,SANTA ROSA,3.86,1134
Yuki Hana,"Yuki Hana, 3635 Aloma Ave #1033, Oviedo, FL 32765",0x88e76f25d0ca3793:0x2e7eb7d8393f6919,A contemporary eatery plus a sleek sushi bar serving classic Japanese fare with a creative twist.,28.625,-81.25,"Sushi restaurant,Asian restaurant,Izakaya restaurant,Japanese restaurant,Noodle shop,Ramen restaurant",4.0,208,$$,1.0,1.0,"0x88e76f18d3bbe68b:0xa4cdeaf2ae48a6ef,0x88e769aa0da7647d:0x1735620a18ecd3d8,0x88e76fb445fc944d:0x29da593d5265432b,0x88e769f6e0d12fdb:0x44d4f618a4b87ec0,0x88e7697764724275:0x178b754703c6b4e9",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e76f25d0ca3793:0x2e7eb7d8393f6919?authuser=-1&hl=en&gl=us,1,0,0,0,1,3635 Aloma Ave #1033 FL USA,32765,Permanently closed,Permanently closed,OVIEDO,SEMINOLE,,
