,Nombre,address,gmap_id,description,category,Rating,Reviews,price,hours,MISC,relative_results,url,restaurant,bakery,dessert,pastry,Condición_Establecimiento,street,Zip,horario,open,close,City,County Name,latitude,longitude
456,Burger King,"Burger King, 1741 Palm Beach Lakes Blvd Suite F01, West Palm Beach, FL 33401",0x88d8d7ed1ac004ff:0x785e900a5d32489b,Sin Dato,Fast food restaurant,2,8,$,1.0,1.0,"0x88d8d60f02927ef9:0xcdd7717e0568182c,0x88d8d605936bd797:0x51a1cc17c2d9c3b4,0x88d8d60c3a32fbc7:0x3a3942dd575ef02,0x88d8d60edfede615:0x6e41d86a00237f28",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8d7ed1ac004ff:0x785e900a5d32489b?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,1741 Palm Beach Lakes Blvd Suite F01 FL USA,33401,Sin Dato,Sin Dato,Sin Dato,WEST PALM BEACH,PALM BEACH,26.71875,-80.0625
457,Auntie Anne's,"Auntie Anne's, 801 N Congress Ave Space 779, Boynton Beach, FL 33426",0x88d8d8ab55bd0b43:0xa9bb44431a2c8e49,Global chain of counters dispensing sweet & savory soft pretzels with a variety of toppings & dips.,"Pretzel store,Bakery,Cafe,Restaurant",3,18,$,1.0,1.0,"0x88d8df57a4000001:0x6e30e6f267d73510,0x88d8df570879d5fd:0x1fcb50ad95173921,0x88d8d8ab55bd0b43:0x80faf2f22c155bad,0x88d8df5950f1f5bd:0x2a8d0185ad89883e",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8d8ab55bd0b43:0xa9bb44431a2c8e49?authuser=-1&hl=en&gl=us,1,1,0,0,Activo,801 N Congress Ave Space 779 FL USA,33426,Open ⋅ Closes 7PM,Sin Dato,7PM,BOYNTON BEACH,PALM BEACH,26.53125,-80.125
458,Hungry Howie's Pizza & Subs,"Hungry Howie's Pizza & Subs, 819 W Bloomingdale Ave, Brandon, FL 33511",0x88c2d206e380f28b:0xe6701e65228830da,"Basic, counter-serve pizzeria chain popular for its flavored crusts, such as sesame & garlic herb.","Pizza restaurant,Caterer,Italian restaurant,Pizza delivery,Pizza Takeout,Restaurant,Salad shop,Sandwich shop",4,208,$,1.0,1.0,"0x88c2d209734efda9:0xb69ea725755618f6,0x88c2cddf00592ca3:0xac60740ff168d9fd,0x88c2d268758fbec3:0x9f34782a17d79523,0x88c2cdddd51a46ab:0x271ff326bceb781d,0x88c2ce6461979edd:0xe61b00f63788b30b",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2d206e380f28b:0xe6701e65228830da?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,819 W Bloomingdale Ave FL USA,33511,Open ⋅ Closes 12AM,Sin Dato,12AM,BRANDON,HILLSBOROUGH,27.8927847,-82.2949132
459,Subway,"Subway, 9940 Belvedere Rd #F, Royal Palm Beach, FL 33411",0x88d92f27df0899ff:0x578870c21de87de6,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","Sandwich shop,Fast food restaurant,Takeout Restaurant,Restaurant",3,58,$,1.0,1.0,"0x88d92a6d72b5b953:0xbd0f9f95b6afb4ed,0x88d92ef70bf2689f:0x60a57e836c17726a,0x88d92fba58612459:0xa25578a44e26eb1e,0x88d929cda83a03ab:0xee57fd229b662d26,0x88d8d5ecaa9d27ff:0x6673cbafe0de6623",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d92f27df0899ff:0x578870c21de87de6?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,9940 Belvedere Rd #F FL USA,33411,Temporarily closed,Temporarily closed,Temporarily closed,WEST PALM BEACH,PALM BEACH,26.6875,-80.1875
460,First Watch,"First Watch, 140 N Orlando Ave, Winter Park, FL 32789",0x88e7712cda3ddfed:0x7c7085e7e41236d7,"Cafe chain for health-minded breakfast, brunch & lunch options such as omelets, salads & soups.","Breakfast restaurant,Brunch restaurant,Cafe,Family restaurant,Fast food restaurant,Health food restaurant,Lunch restaurant,Pancake restaurant,Restaurant,Traditional American restaurant",4,88,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e7712cda3ddfed:0x7c7085e7e41236d7?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,140 N Orlando Ave FL USA,32789,Closed ⋅ Opens 7AM Sat,7AM Sat,Sin Dato,WINTER PARK,ORANGE,28.5982637,-81.3649231
461,Baja Fresh Mexican Grill,"Baja Fresh Mexican Grill, 10505 Jeff Fuqua Blvd N Ste 1048, Orlando, FL 32827",0x88e763e51b7994a1:0xf2b3cb956106c8af,Sin Dato,"Mexican restaurant,Breakfast restaurant,Burrito restaurant,Fast food restaurant,Spanish restaurant,Taco restaurant,Tex-Mex restaurant",3,5,$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e763e51b7994a1:0xf2b3cb956106c8af?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,10505 Jeff Fuqua Blvd N Ste 1048 FL USA,32827,Temporarily closed,Temporarily closed,Temporarily closed,ORLANDO,ORANGE,28.421875,-81.3125
462,Subway,"Subway, 806 E Wade St Unit 6, Trenton, FL 32693",0x88e8dde8a01065af:0x7bad81cfe7341b3b,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",3,140,$,1.0,1.0,"0x88e8dde13e2d2759:0x84aaf341458329a5,0x88e8dde192451e77:0x89eb19d8a14304a1,0x88e8dde051555559:0x4514ae297362f9ac,0x88e8de0a1aa90821:0x612bb2854fc8c0cb,0x88e8dde1c1486407:0x822acdb960f2ee86",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e8dde8a01065af:0x7bad81cfe7341b3b?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,806 E Wade St Unit 6 FL USA,32693,Open ⋅ Closes 9PM,Sin Dato,9PM,TRENTON,GILCHRIST,29.609375,-82.8125
463,Taqueria Guanajuato,"Taqueria Guanajuato, 302 1st St NW, Ruskin, FL 33570",0x88c2d8806287c663:0x3940d7e622fede12,Sin Dato,Mexican restaurant,4,217,Sin Dato,1.0,1.0,"0x88c2d880e4ece015:0x96e854033ab9aa3e,0x88c32788e01694e7:0xb8e7869153e98e10,0x88c2d881a64ad5e9:0xd68a2a8f8e82f9ce,0x88c2d8874b82bd6f:0xcf645279d4f02728",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2d8806287c663:0x3940d7e622fede12?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,302 1st St NW FL USA,33570,Open ⋅ Closes 8PM,Sin Dato,8PM,RUSKIN,HILLSBOROUGH,27.919265,-82.789935
464,Heritage House,"Heritage House, 9310 Baldridge Rd, Pensacola, FL 32514",0x889095e6bd8c0995:0x1f0973ac0b786d7c,Sin Dato,Restaurant,3,45,Sin Dato,1.0,1.0,"0x8890eacd76a8f82f:0xe83ea2cf86aaf36a,0x88909541b225bcaf:0x6edc3444b60a0ae2,0x8890966585e36d3f:0x131d47c2c60a8d31",https://www.google.com/maps/place//data=!4m2!3m1!1s0x889095e6bd8c0995:0x1f0973ac0b786d7c?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,9310 Baldridge Rd FL USA,32514,Permanently closed,Permanently closed,Permanently closed,PENSACOLA,ESCAMBIA,30.528799,-87.228263
465,Burger King,"Burger King, 2120 N Roosevelt Blvd, Key West, FL 33040",0x88d1b6ca976cb7c5:0x2dae64848088c8b,"Well-known fast-food chain serving grilled burgers, fries & shakes, plus breakfast.",Fast food restaurant,3,96,$,1.0,1.0,"0x88d1b15cd5455107:0xfa4d20e35e1687fe,0x88d1b6ebcd8b8dc1:0xdf11014e05f0cc98,0x88d1b6c066bfc9f5:0x42603a2797afdd8d,0x88d1b16eb2350781:0xcf39aed7f1358774",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d1b6ca976cb7c5:0x2dae64848088c8b?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,2120 N Roosevelt Blvd FL USA,33040,Sin Dato,Sin Dato,Sin Dato,KEY WEST,MONROE,24.560285953303435,-81.78106778511332
466,Sala Thai,"Sala Thai, 103 US-1 # B5, Jupiter, FL 33477",0x88df29ecf0fa4217:0x7cee52b4d6902536,Relaxed restaurant serving traditional Thai dishes with choose-your-own spice levels.,"Thai restaurant,Asian restaurant,Southeast Asian restaurant",4,138,$$,1.0,1.0,"0x88df29eb8e1ff72d:0x2e191e180523e1cc,0x88df29e345aa8593:0x70fc38bd0d7b03e6,0x88d92aa6cded63d1:0xb3ff0ea901c1359d,0x88df29e415329501:0xfebb82e11059e916",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88df29ecf0fa4217:0x7cee52b4d6902536?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,103 US-1 # B5 FL USA,33477,Closed ⋅ Opens 4:30PM,4:30PM,Sin Dato,JUPITER,PALM BEACH,26.9375,-80.0625
467,Angela's Restaurant Supplies,"Angela's Restaurant Supplies, 711 W International Speedway Blvd, Daytona Beach, FL 32114",0x88e6dbb6af873d53:0xf576467a76062701,Sin Dato,Restaurant supply store,4,35,Sin Dato,1.0,1.0,"0x88e6da31097b7bd9:0x4ea5acb1d180a3c0,0x88e6dcd8c38ff02d:0xb9369652983ce63e,0x88e7127d1595442b:0x87356c2d7dcfe437,0x88e6dbc4cc016055:0x9d337bbbe04bbd28",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e6dbb6af873d53:0xf576467a76062701?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,711 W International Speedway Blvd FL USA,32114,Open ⋅ Closes 5:30PM,Sin Dato,5:30PM,DAYTONA BEACH,VOLUSIA,29.203125,-81.0
468,Paradise Biryani Pointe,"Paradise Biryani Pointe, 1406 E Fowler Ave, Tampa, FL 33612",0x88c2c71aebf306f3:0xb9aec1a6423820b3,"Counter-serve Indian chain for biryani, kebabs, curries & more, including lots of veggie options.",Indian restaurant,2,106,$$,1.0,1.0,"0x88c2c7d91b72f0a7:0xb353071849fa12b4,0x88c2c775a3c2b883:0xf065efab53a4c5ff,0x88c2c7cd7be7f221:0x6b6a7bcce71da947,0x88c2e9e6e1fe1009:0x5f09b209c904d5c4",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c71aebf306f3:0xb9aec1a6423820b3?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,1406 E Fowler Ave FL USA,33612,Permanently closed,Permanently closed,Permanently closed,TAMPA,HILLSBOROUGH,28.05489295,-82.44425424970686
469,Planet Smoothie,"Planet Smoothie, 2245 Plantation Center Dr, Fleming Island, FL 32003",0x88e5c535a0d60fbb:0xdb61a8c58f45995d,"Sleek chain for custom smoothies made with yogurt, sherbet & nutrition-oriented add-ins.","Juice shop,Health food restaurant",4,75,$,1.0,1.0,"0x88e5c5404ce6d615:0xf4fb209d2250bcd1,0x88e5c67d7b6a6705:0x8234df1158bdffb9,0x88e5ca1b74430711:0x32679c3271f7ae49,0x88e5ccb41ff6396b:0x394bdb6b557e3c77",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5c535a0d60fbb:0xdb61a8c58f45995d?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,2245 Plantation Center Dr FL USA,32003,Open ⋅ Closes 8PM,Sin Dato,8PM,FLEMING ISLAND,CLAY,30.0852815,-81.714868
470,Marco's Pizza,"Marco's Pizza, 14387 Bridgewater Crossings Blvd Suite 120, Windermere, FL 34786",0x88e7813fca15a4d7:0xc357b21d3836bb42,Counter-serve chain serving specialty or custom pizzas for takeout or delivery.,"Pizza restaurant,Takeout Restaurant,Pizza delivery,Pizza Takeout",4,137,$,1.0,1.0,"0x88e780f8e2474515:0x23e171b0fe3b66dc,0x88e7813ef3592905:0xc7cdef63617ab889,0x88e780f80c88d61f:0x18f8bf148f0c9bed,0x88e7825f6c720b8b:0x574274351155022,0x88e78382954eab8d:0x105d5c11dc490e55",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e7813fca15a4d7:0xc357b21d3836bb42?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,14387 Bridgewater Crossings Blvd Suite 120 FL USA,34786,Open ⋅ Closes 11PM,Sin Dato,11PM,WINDERMERE,ORANGE,28.4869271,-81.5994179
471,Los Amigos Mexican Restaurant,"Los Amigos Mexican Restaurant, 915 White Ave, Graceville, FL 32440",0x8892f987131a653f:0x608b533985efb62e,Sin Dato,Mexican restaurant,3,98,$,1.0,1.0,"0x8892fa2f79b65ba9:0xe427103440c66fac,0x8892fbd4d048c2b1:0x10c3af3dff028487,0x8892fa29135dc2bf:0xf20d86c6ddc0381c,0x8892fa3acf021593:0x2f16c118343928ca,0x8892fa296f8ffbf9:0x6ddacb451d1eda18",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8892f987131a653f:0x608b533985efb62e?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,915 White Ave FL USA,32440,Open ⋅ Closes 9PM,Sin Dato,9PM,GRACEVILLE,JACKSON,30.288565991259677,-82.98381929643892
472,Subway,"Subway, 122 N Dixie Hwy, West Palm Beach, FL 33401",0x88d8d689d6394307:0xa5c7868dfad0f99c,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",4,74,$,1.0,1.0,"0x88d8d689dd948351:0xa7e9f7aca8fc7030,0x88d8d60c3a32fbc7:0x3a3942dd575ef02,0x88d929de76431da3:0xb9d147bde5c407e8,0x88d8d680af342ba5:0xec5181b7aada0639,0x88d8d663c8b87be1:0xa3e0f3ec71f6a138",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8d689d6394307:0xa5c7868dfad0f99c?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,122 N Dixie Hwy FL USA,33401,Open ⋅ Closes 9PM,Sin Dato,9PM,WEST PALM BEACH,PALM BEACH,26.71365330612245,-80.05343251020409
473,La Zeta Mexicana,"La Zeta Mexicana, 519 S Brevard Ave, Arcadia, FL 34266",0x88dc961cb0e3a75f:0xbc2fd38e3287f081,Sin Dato,"Mexican restaurant,Grocery store,Latin American restaurant",3,86,Sin Dato,1.0,1.0,"0x88dc96070c843321:0xb324d090d36515a6,0x88dc97b84cdffcd3:0x3a127f30b977facb,0x88dc95fcbf135823:0xf0cbfb15f0a3ab12,0x88dc960cf26c5983:0x8affe61fe389a6ee,0x88dc960479af7d4b:0xaa9db503010e86e0",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dc961cb0e3a75f:0xbc2fd38e3287f081?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,519 S Brevard Ave FL USA,34266,Open ⋅ Closes 10:30PM,Sin Dato,10:30PM,ARCADIA,DE SOTO,28.308703219366684,-80.61089288534535
474,Plum Tree,"Plum Tree, 215 E Davis Blvd, Tampa, FL 33606",0x88c2c4c076b98803:0x24f51bd119d0d3d1,"Standard take-out shop offering a classic array of Chinese stir-fries, noodles & combo platters.","Restaurant,Chinese restaurant,Chinese takeaway",3,86,Sin Dato,1.0,1.0,"0x88c2dcb448edfc61:0xe237dfb1f5bfe395,0x88c2c4bf8ea9ea29:0xccb77c5dbbbf3463,0x88c2c33cea46c70b:0xec90cfac15c378a2,0x88c2c45c4e654ad7:0x38a472bde36c532f,0x88c2dcc52385a093:0xfd51b8073bcd72d5",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c4c076b98803:0x24f51bd119d0d3d1?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,215 E Davis Blvd FL USA,33606,Open ⋅ Closes 11PM,Sin Dato,11PM,TAMPA,HILLSBOROUGH,27.9269571,-82.4533251
475,Cafe Verona,"Cafe Verona, 8090Sorrento La, Suite 5, Naples, FL 34114",0x88dafca5ea8f63c5:0x8336f794086ee33e,Sin Dato,"Restaurant,Bistro",4,58,$$,1.0,1.0,"0x88dafcaaff6b755b:0xe2b88cc9d729954,0x88dae4b6f818e0b5:0xa30ec940d975f288,0x88dafccaf80f7f25:0x46672b1f7ad54a1,0x88dafcaa4cf56235:0x167f97fcf711fc6,0x88dae3c678ccfe25:0x63111cdda3785cb2",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dafca5ea8f63c5:0x8336f794086ee33e?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,8090Sorrento La FL USA,34114,Open ⋅ Closes 9PM,Sin Dato,9PM,NAPLES,COLLIER,26.09375,-81.6875
476,Crispers,"Crispers, 557 N Alafaya Trail, Orlando, FL 32828",0x88e767cb1c4dc0b5:0x71e361d5cd348269,"Counter-serve chain with a healthy ethos serving soups, salads, sandwiches & more in modern digs.","Salad shop,Deli,Delivery Restaurant,Takeout Restaurant,Restaurant,Sandwich shop,Soup restaurant",3,178,$,1.0,1.0,"0x88e767cafceaf295:0x5197111efb30d858,0x88e767cafada6dc5:0x377d9a12cf93d1c2,0x88e767cb58fa411b:0xae9d76d2cbb4823d",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e767cb1c4dc0b5:0x71e361d5cd348269?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,557 N Alafaya Trail FL USA,32828,Permanently closed,Permanently closed,Permanently closed,ORLANDO,ORANGE,28.5625,-81.1875
477,New Panda,"New Panda, 11068 Spring Hill Dr, Spring Hill, FL 34608",0x88c2a00cc70ec479:0x8cc2383187523975,Sin Dato,Chinese restaurant,3,65,Sin Dato,1.0,1.0,"0x88c2a07377aaeffb:0xab211a9638945b12,0x88c2a00cc0ed2231:0x23e7e8c9674a4273,0x88c2a03a887bb4cd:0x90523095d312b0c9,0x88e81feab58f5b4b:0x15adf7ece0762805,0x88c2a0ef3a89bc03:0xf6041fecb9e5c689",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2a00cc70ec479:0x8cc2383187523975?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,11068 Spring Hill Dr FL USA,34608,Open ⋅ Closes 11PM,Sin Dato,11PM,SPRING HILL,HERNANDO,28.461401137797825,-82.54057441687529
478,Panda Garden,"Panda Garden, 1968 Lake Worth Rd, Lake Worth, FL 33461",0x88d8d83ee054e4bb:0xeb38ad9c414c923c,Sin Dato,Restaurant,4,66,Sin Dato,1.0,1.0,"0x88d8d84a43ae173b:0x9cb1377d84bc95a7,0x88d8d8f778a25af5:0xb8c2b2fa20e01823,0x88d8d80fbc6329f9:0x93c0ea7b2250c712,0x88d8d819b29d04ad:0xb1473017e0f3b1d,0x88d926de003034e9:0x9ee6b47f6054c9c8",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8d83ee054e4bb:0xeb38ad9c414c923c?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,1968 Lake Worth Rd FL USA,33461,Open ⋅ Closes 11PM,Sin Dato,11PM,LAKE WORTH,PALM BEACH,26.616951333333333,-80.07236077777777
479,Asian Garden,"Asian Garden, 9041 Southside Blvd #138c, Jacksonville, FL 32256",0x88e5cb0e3de07e55:0x2e984b8066f6d0d9,Sin Dato,Chinese restaurant,4,58,Sin Dato,1.0,1.0,"0x88e5cb73565b098d:0x53725a437d88cb5c,0x88e5ca2064328cf5:0x116219c39edeecc8,0x88e5ca302d6c3ef5:0xb75bf3dce3bd4f48,0x88e5b606c454478d:0xadc8fff344c434d2",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5cb0e3de07e55:0x2e984b8066f6d0d9?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,9041 Southside Blvd #138c FL USA,32256,Permanently closed,Permanently closed,Permanently closed,JACKSONVILLE,DUVAL,30.1875,-81.5625
480,Beijing Cafe,"Beijing Cafe, 2851 County Road 210 West #118, St Johns, FL 32259",0x88e5d36d50cae03f:0xc03ae530ebcddddd,Sin Dato,Chinese restaurant,3,28,Sin Dato,1.0,1.0,"0x88e42d5304ea777b:0xcae277e9bc951505,0x88e5cdcebdcb627d:0x23663eb9c6ed4f2,0x88e42d52f0966323:0xb4bc03c02fa590fa,0x88e42ef904ea5b6d:0x8947fa82ad12f9f2,0x88e42d52eb63e427:0x37d75ff707214006",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5d36d50cae03f:0xc03ae530ebcddddd?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,2851 County Road 210 West #118 FL USA,32259,Open ⋅ Closes 10:30PM,Sin Dato,10:30PM,SAINT JOHNS,SAINT JOHNS,30.0625,-81.5625
481,Subway,"Subway, 8804 W Church St, Hastings, FL 32145",0x88e687f0bef4b43d:0x39e341aa7b4ccf51,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",4,88,$,1.0,1.0,"0x88e6878952a9aa55:0x29e7881c8c32ee7b,0x88e6638ec390ae7d:0x17eba95775cb0e5c,0x88e67a7769de3bbd:0x97c819f5cd371a60",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e687f0bef4b43d:0x39e341aa7b4ccf51?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,8804 W Church St FL USA,32145,Open ⋅ Closes 7PM,Sin Dato,7PM,HASTINGS,SAINT JOHNS,27.897964,-81.848796
482,Luz Latin Cakes,"Luz Latin Cakes, 6500 Hollywood Blvd, Hollywood, FL 33024",0x88d9a93b9a46940f:0x897e76f72de885e5,Sin Dato,Bakery,4,96,$$,1.0,1.0,"0x88d9b834ae4201d1:0xca9d6efa658bf718,0x88d9a8a878e4308f:0x4087d9cd51285d40,0x88d9a9276413e3a5:0x231bd1d83f5995e7,0x88d904baffd1e573:0xf302e593e6670bef,0x88d9a4e2b3dc675d:0x9d2c00c5e56d4212",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9a93b9a46940f:0x897e76f72de885e5?authuser=-1&hl=en&gl=us,0,1,0,0,Activo,6500 Hollywood Blvd FL USA,33024,Open ⋅ Closes 5:30PM,Sin Dato,5:30PM,HOLLYWOOD,BROWARD,26.009702997416984,-80.21797079753951
483,Walmart Bakery,"Walmart Bakery, 17650 NW 2nd Ave, Miami Gardens, FL 33169",0x88d9ae66887fb4f1:0x908ce963f36151e,Sin Dato,"Bakery,Cake shop,Wholesale bakery",5,4,$,1.0,1.0,"0x88d9afa537557cb3:0xff0fe8600adef2b7,0x88d9af336dcc79af:0xd79b0567ba75e8a9,0x88d9abf54d67f053:0xa125b71745d92743,0x88d9a899d0d50f35:0xfe64b64473a3c80c,0x88d9ae6ddf3dd7d1:0xeb49645b49794aa1",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9ae66887fb4f1:0x908ce963f36151e?authuser=-1&hl=en&gl=us,0,1,0,0,Activo,17650 NW 2nd Ave FL USA,33169,Open ⋅ Closes 10PM,Sin Dato,10PM,MIAMI,MIAMI-DADE,25.93571485,-80.20766828420057
484,Auntie Anne's,"Auntie Anne's, 2133 University Square Mall, Tampa, FL 33612",0x88c2c707f99e662d:0xfa03da5cc7b6bafc,Global chain of counters dispensing sweet & savory soft pretzels with a variety of toppings & dips.,"Restaurant,Bakery,Cafe,Pretzel store",3,13,$,1.0,1.0,"0x88c2c2530fb39579:0x6c44bfb3f42fdcc4,0x88c2c7085a427d8d:0x180ac5fd0b2d96fc,0x88c2b0d718f3f69f:0xa5647fa9fdaa237e,0x88c2c706746ab11f:0x4b06631fde8fb20",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c707f99e662d:0xfa03da5cc7b6bafc?authuser=-1&hl=en&gl=us,1,1,0,0,Inactivo,2133 University Square Mall FL USA,33612,Sin Dato,Sin Dato,Sin Dato,TAMPA,HILLSBOROUGH,28.0552876,-82.4358436
485,Olives,"Olives, 165 S Orange Ave, Orlando, FL 32801",0x88e77b0eb312f6db:0xaaa1485c0e800a75,"Gyros, hummus & other Mediterranean fare in snug counter-serve cafe with an informal dining area.","Mediterranean restaurant,Greek restaurant,Halal restaurant,Kosher restaurant,Vegan restaurant",4,156,Sin Dato,1.0,1.0,"0x88e77afe8765aa11:0x7bfda469d3a6a5bf,0x88e77b01ee83354d:0xaa41d17da4c0862c,0x88e77afe055d733f:0x9aeb914f0ef60449,0x88e77af72ef56829:0x324302567e2975e",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77b0eb312f6db:0xaaa1485c0e800a75?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,165 S Orange Ave FL USA,32801,Open ⋅ Closes 10PM,Sin Dato,10PM,ORLANDO,ORANGE,28.507830411764704,-81.37559251470587
486,Starbucks,"Starbucks, 5814 Conroy Windermere Rd, Orlando, FL 32835",0x88e77ecdf5af5eab:0x97c41f2d5a0860ec,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","Coffee shop,Breakfast restaurant,Cafe,Coffee store,Espresso bar,Internet cafe",4,88,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77ecdf5af5eab:0x97c41f2d5a0860ec?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,5814 Conroy Windermere Rd FL USA,32835,Sin Dato,Sin Dato,Sin Dato,ORLANDO,ORANGE,28.4937381,-81.4930478
487,Ben & Jerry’s,"Ben & Jerry’s, 295 Pine Lake Dr Suite No. C101, Ponte Vedra Beach, FL 32081",0x88e43108d2c4c53b:0xc8145c56486efeb2,"Iconic Vermont-based ice cream parlor chain, known for its creative, cleverly named flavors.","Ice cream shop,Bakery,Candy store,Caterer",4,64,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e43108d2c4c53b:0xc8145c56486efeb2?authuser=-1&hl=en&gl=us,0,1,0,0,Activo,295 Pine Lake Dr Suite No. C101 FL USA,32081,Open ⋅ Closes 11PM,Sin Dato,11PM,PONTE VEDRA,SAINT JOHNS,30.109375,-81.4375
488,Chopstick House,"Chopstick House, 9850 FL A1AAlt, Palm Beach Gardens, FL 33410",0x88d8d54c315252e5:0xf05656b7b90bcd9d,Sin Dato,"Asian restaurant,Chinese restaurant",3,8,Sin Dato,1.0,1.0,"0x88d8d54c8c7733e3:0xf796fb81d75e367,0x88d92abb77dbf58d:0xe81ad24767eda8d0,0x88d8d54c30fe6345:0x1cd79eee366e8989,0x88d8d582c1398e3b:0xffaa7283f7cbfa87,0x88d8d558d0d54ea3:0x18a6fceffa3d2860",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8d54c315252e5:0xf05656b7b90bcd9d?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,9850 FL A1AAlt FL USA,33410,Permanently closed,Permanently closed,Permanently closed,PALM BEACH GARDENS,PALM BEACH,26.828125,-80.0625
489,Subway,"Subway, 1226 Freeport Road, Defuniak Springs, FL 32435",0x8893d1ad8c8f569f:0x2dc15b0b9d53462f,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",3,25,$,1.0,1.0,"0x8893d1b258e69903:0x3effec85bdf82876,0x8893d1b2228bdf87:0x7cf31649bed30476,0x8893d1b2da59103f:0xfe987792595b5170,0x8893d17052a134d3:0xac0fc871a2d2380f,0x8893d1b2f7f1e3e7:0x3bba82a3209c5fd5",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8893d1ad8c8f569f:0x2dc15b0b9d53462f?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,1226 Freeport Road FL USA,32435,Open ⋅ Closes 8PM,Sin Dato,8PM,DEFUNIAK SPRINGS,WALTON,26.644013,-80.081254
